branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition
branch_120	353	58	29.4364124846	1	1	0	0	0	0	0	1	1	Omnivore	Insectivore	Insectivore	Micronycteris_microtis	Node353	1
branch_121	352	59	30.223490118	1	1	0	0	0	0	0	1	1	Omnivore	Carnivore	Carnivore	Desmodus_rotundus	Node352	1
branch_122	351	60	32.650833303	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Macrotus_californicus	Node351	0
branch_123	307	359	3.496796	2	2	0	0	0	0	0	2	2	Insectivore	Insectivore	Insectivore	Node359	Node307	0
branch_124	359	360	8.545587	2	3	1	1	0	1	0	2	3	Insectivore	Plant_dominant	Plant_dominant	Node360	Node359	1
branch_125	360	361	0.3328322806	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Node361	Node360	0
branch_126	361	362	7.184436081	3	2	-1	0	1	0	1	3	2	Plant_dominant	Plant_dominant	Plant_dominant	Node362	Node361	0
branch_127	362	363	8.587662181	2	2	0	0	0	0	0	2	2	Plant_dominant	Plant_dominant	Plant_dominant	Node363	Node362	0
branch_128	363	364	28.868253864	2	1	-1	0	1	0	1	2	1	Plant_dominant	Insectivore	Insectivore	Node364	Node363	1
branch_129	364	365	1.140832743	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node365	Node364	0
branch_130	365	366	2.4058116444	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node366	Node365	0
branch_131	366	367	3.276626456	1	1	0	0	0	0	0	1	1	Insectivore	Carnivore	Carnivore	Node367	Node366	1
branch_132	367	368	2.686724774	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Node368	Node367	0
branch_133	368	369	1.789911617	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Node369	Node368	0
