branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	diet_binary	stable_diet_branch	child_label	parent_label
branch_389	410	193	3.0003086736	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Trachypithecus_shortridgei	Node410
branch_390	409	194	9.16274968845	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Colobus_guereza	Node409
branch_391	408	412	4.024381673	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node412	Node408
branch_392	412	413	1.471962079	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node413	Node412
branch_393	413	414	3.43812105003	4	5	1	1	0	1	0	4	5	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node414	Node413
branch_394	414	415	0.623369759	5	6	1	1	0	1	0	5	6	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node415	Node414
branch_395	415	416	0.2082497963	6	6	0	0	0	0	0	6	6	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node416	Node415
branch_396	416	195	3.578966595	6	13	7	7	0	1	0	6	13	Plant_dominant	Non_plant	Non_plant	Non_plant	0	Macaca_fascicularis	Node416
branch_397	416	417	2.3406731259	6	4	-2	0	2	0	1	6	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node417	Node416
branch_398	417	196	1.238293469	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Macaca_mulatta	Node417
branch_399	417	197	1.2382934686	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Macaca_nigra	Node417
branch_400	415	198	3.787216463	6	5	-1	0	1	0	1	6	5	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Macaca_assamensis	Node415
branch_401	414	418	2.4830828921	5	4	-1	0	1	0	1	5	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node418	Node414
