analysis	n_branches	plant_branches	nonplant_branches	plant_time	nonplant_time	plant_gain	nonplant_gain	plant_loss	nonplant_loss	plant_gain_events	nonplant_gain_events	plant_loss_events	nonplant_loss_events	plant_gain_rate	nonplant_gain_rate	gain_rate_ratio	gain_rate_ratio_corrected	gain_poisson_p	gain_poisson_low95	gain_poisson_high95	gain_fisher_or	gain_fisher_p	plant_loss_rate	nonplant_loss_rate	loss_rate_ratio	loss_rate_ratio_corrected	loss_poisson_p	loss_poisson_low95	loss_poisson_high95	loss_fisher_or	loss_fisher_p
remove_Proboscidea_all_branches	587	228	359	2122.84811147228	3876.2995039087	53	7	39	17	25	1	33	17	0.0249664588406386	0.00180584601188363	13.8253531454749	13.025395604982	2.39144728670663e-17	6.26377231447512	36.0459590798709	43.8869809460873	3.92753903584826e-10	0.0183715451846208	0.00438562602886023	4.18903596971659	4.12152037166987	3.12539461836747e-07	2.31488329420194	7.89713236659835	3.39707100392147	5.9244173038776e-05
remove_Proboscidea_stable_branches	530	212	318	1846.23570980965	3236.1650132167	52	0	39	12	24	0	33	12	0.0281654177327993	0	Inf	184.04872388845	1.35315834671442e-23	23.8427808322873	Inf	Inf	1.23448342448605e-10	0.0211240632995995	0.00370809274279626	5.69674621559489	5.53899016654765	9.00040720222537e-09	2.9222746669771	11.9510954644181	4.68697528197866	3.87256422909022e-06
remove_Rodentia_all_branches	447	167	280	1544.52332844927	2941.31164050059	53	7	34	10	25	1	28	10	0.0343147941010467	0.00237989062553353	14.4186433329699	13.5843570520685	6.19977934292459e-18	6.53257084799378	37.5928066428885	48.7992070322883	1.07396199817786e-10	0.0220132641402941	0.00339984375076218	6.47478700612612	6.25714710676054	7.7088744762163e-09	3.12771484606912	14.6936705356281	5.41688477274533	2.39071794366711e-06
remove_Rodentia_stable_branches	407	160	247	1395.79815894127	2410.23761904349	52	0	34	6	24	0	28	6	0.0372546701447455	0	Inf	181.311995848688	2.21915298617219e-23	23.488248589569	Inf	Inf	6.02795410359669e-11	0.0243588227869489	0.00248938111022477	9.78509183945302	9.16522176817546	4.22685180883256e-10	4.0609364591376	28.5133701538919	8.47600056215056	1.21647267782379e-07
remove_Scandentia_all_branches	587	229	358	2167.94419997928	3797.3298831833	53	7	39	16	25	1	33	16	0.0244471236854281	0.00184340055126628	13.2619704755078	12.4946111775539	8.88912505030854e-17	6.00852380592255	34.5770874746209	43.5508694402802	4.39729785631527e-10	0.0179893929005981	0.00421348697432292	4.26947870261041	4.19317877241613	2.87825228695009e-07	2.33152417667858	8.18366806033744	3.59083313466296	4.52379352736688e-05
remove_Scandentia_stable_branches	531	213	318	1891.33179831665	3236.1650132167	52	0	39	12	24	0	33	12	0.0274938538263259	0	Inf	179.660346582331	2.99806410511863e-23	23.2742839902087	Inf	Inf	1.32836217472945e-10	0.0206203903697444	0.00370809274279626	5.56091548945311	5.40692090666826	1.178156321132e-08	2.85259722743896	11.6661387691948	4.66103501597166	3.96183342709946e-06
remove_Sirenia_all_branches	585	226	359	2109.76026117388	3876.2995039087	51	7	38	17	23	1	32	17	0.0241733626983871	0.00180584601188363	13.3861705479375	12.6162470131542	1.2341024020252e-16	6.04871921125188	34.9630441350837	40.3770105520327	2.4138100059205e-09	0.0180115251478178	0.00438562602886023	4.10694505853678	4.04209855761251	5.34657038046664e-07	2.26265027393708	7.75971546298681	3.31122242863264	9.65455436338424e-05
remove_Sirenia_stable_branches	528	210	318	1833.14785951125	3236.1650132167	50	0	38	12	22	0	32	12	0.027275486666597	0	Inf	178.301310851178	8.17372438997521e-23	23.0562998152953	Inf	Inf	7.73746127432605e-10	0.0207293698666137	0.00370809274279626	5.59030512569699	5.43730730120423	1.62252729901213e-08	2.85974476841824	11.7509152441152	4.57059384729864	6.80579974745774e-06
remove_Tubulidentata_all_branches	587	229	358	2167.94419997928	3794.9017845987	53	7	39	17	25	1	33	17	0.0244471236854281	0.00184458001743522	13.2534904717338	12.4866218406649	9.06869471031126e-17	6.00468181994885	34.5549781031047	43.5508694402802	4.39729785631527e-10	0.0179893929005981	0.00447969432805695	4.01576348366628	3.95104055572441	4.90370834304013e-07	2.21913200770014	7.57048065777537	3.36991781016569	6.31565299564034e-05
remove_Tubulidentata_stable_branches	530	213	317	1891.33179831665	3154.7672939067	52	0	39	12	24	0	33	12	0.0274938538263259	0	Inf	175.141435339388	6.89003421534392e-23	22.6888769953123	Inf	Inf	1.39124322442078e-10	0.0206203903697444	0.00380376708709308	5.42104442717152	5.27092319688062	1.76744579622704e-08	2.78084720620233	11.3727059296801	4.6458181258229	4.02162694652077e-06
