Scientific	BodyMass-Value
Dactylomys boliviensis	728.8
Kannabateomys amblyonyx	600
Olallamys edax	206.4
Olallamys albicauda	273.5
Boromys offella	272.28
Boromys torrei	272.28
Brotomys contractus	272.28
Brotomys voratus	272.28
Heteropsomys insulans	272.28
Heteropsomys antillensis	272.28
Thryonomys gregorianus	2707.14
Thryonomys swinderianus	3180.02
Chaetomys subspinosus	1299.99
Coendou rothschildi	2000
Coendou prehensilis	4399.97
Coendou nycthemera	2999.98
Coendou bicolor	4050.05
Echinoprocta rufescens	831.8
Erethizon dorsatum	7085.33
Sphiggurus insidiosus	1000
Sphiggurus villosus	1750.01
Sphiggurus vestitus	736
Sphiggurus melanurus	1900
Sphiggurus roosmalenorum	1242.24
Sphiggurus mexicanus	2000
Sphiggurus pruinosus	1242.24
Sphiggurus ichillus	1242.24
Sphiggurus spinosus	750.79
Chinchilla chinchilla	499.99
Chinchilla lanigera	417
Lagidium wolffsohni	2682.01
Lagidium peruanum	1220
Lagidium viscacia	1540
Lagostomus crassus	4647.51
Lagostomus maximus	4647.51
Dinomys branickii	12500
Cavia intermedia	578.88
Cavia aperea	549
Cavia fulgida	282.5
Cavia porcellus	728
Cavia tschudii	1000
Cavia magna	460
Galea musteloides	480
Galea spixii	326.2
Galea flavidens	450
Microcavia australis	286.1
Microcavia niata	255.2
Microcavia shiptoni	185
Dolichotis salinicola	1600
Dolichotis patagonum	8000
Hydrochoerus hydrochaeris	48144.91
Hydrochoerus isthmius	21267.32
Kerodon rupestris	800
Kerodon acrobata	800
Dasyprocta azarae	2309.99
Dasyprocta guamara	2650.03
Dasyprocta ruatanica	2857.13
Dasyprocta fuliginosa	3500.02
Dasyprocta kalinowskii	2650.03
Dasyprocta cristata	2650.03
Dasyprocta leporina	3020.02
Dasyprocta mexicana	5000
Dasyprocta prymnolopha	2900.01
Dasyprocta punctata	2674.98
Dasyprocta coibae	2660.13
Myoprocta pratti	966.73
Myoprocta acouchy	600
Cuniculus taczanowskii	8999.95
Cuniculus paca	8172.55
Aconaemys sagei	96.5
Aconaemys fuscus	133.5
Aconaemys porteri	113.5
Octodon pacificus	194.34
Octodon bridgesi	150
Octodon degus	210
Octodon lunatus	233
Octodontomys gliroides	150
Octomys mimax	131
Pipanacoctomys aureus	136.62
Salinoctomys loschalchalerosorum	136.62
Spalacopus cyanus	127.5
Tympanoctomys barrerae	70
Abrocoma boliviensis	158
Abrocoma budini	214.69
Abrocoma cinerea	250
Abrocoma famatina	214.69
Abrocoma shistacea	214.69
Abrocoma uspallata	214.69
Abrocoma vaccarum	214.69
Abrocoma bennettii	250.5
Cuscomys ashaninka	910
Cuscomys oblativa	910
Myocastor coypus	6937.45
Capromys pilorides	5650
Capromys gundlachianus	5650
Geocapromys brownii	1500
Geocapromys ingrahami	800
Geocapromys thoracatus	1500
Mesocapromys nanus	583.33
Mesocapromys sanfelipensis	554.44
Mesocapromys melanurus	883.14
Mesocapromys auritus	585.55
Mesocapromys angelcabrerai	470
Mysateles meridionalis	884.61
Mysateles prehensilis	926.71
Mysateles garridoi	929.09
Hexolobodon phenax	1350.1
Isolobodon montanus	1350.1
Isolobodon portoricensis	1350.1
Plagiodontia araeum	1267
Plagiodontia ipnaeum	1267
Plagiodontia aedium	1267
Rhizoplagiodontia lemkei	1350.1
Ochotona cansus	68.75
Ochotona nubrica	116.21
Ochotona pusilla	142.5
Ochotona rufescens	250
Ochotona dauurica	109
Ochotona thibetana	83.1
Ochotona thomasi	111.63
Ochotona huangensis	105.33
Ochotona curzoniae	131.48
Ochotona turuchanensis	142.15
Ochotona princeps	157.63
Ochotona pallasi	149.62
Ochotona hyperborea	120
Ochotona alpina	150
Ochotona argentata	142.15
Ochotona hoffmanni	142.15
Ochotona collaris	129
Ochotona roylei	260
Ochotona erythrotis	181
Ochotona forresti	111.65
Ochotona gaoligongensis	111.61
Ochotona ladacensis	182.19
Ochotona rutila	182.02
Ochotona koslowi	182.03
Ochotona gloveri	181.97
Ochotona macrotis	260
Ochotona muliensis	182
Ochotona nigritia	142.15
Ochotona himalayana	189.31
Ochotona iliensis	209.75
Brachylagus idahoensis	421.34
Bunolagus monticularis	1750.01
Caprolagus hispidus	2497
Lepus arcticus	4405.04
Lepus othus	4805.96
Lepus timidus	3048
Lepus alleni	3685.02
Lepus americanus	1710.02
Lepus tolai	1589
Lepus tibetanus	2451.03
Lepus insularis	2658.02
Lepus starcki	2750
Lepus castroviejoi	2822.41
Lepus comus	1460
Lepus coreanus	2017.79
Lepus europaeus	3740
Lepus mandshuricus	1800
Lepus microtis	1763.61
Lepus fagani	2048.51
Lepus peguensis	2267.5
Lepus hainanus	2000
Lepus nigricollis	2298.5
Lepus sinensis	1510
Lepus habessinicus	2015.56
Lepus brachyurus	2519.45
Lepus saxatilis	2363.33
Lepus townsendii	1555
Lepus callotis	2500
Lepus californicus	2422.48
Lepus oiostolus	3000
Lepus flavigularis	2999.99
Lepus capensis	3261.67
Lepus granatensis	4010
Lepus corsicanus	3000
Lepus yarkandensis	1460.41
Sylvilagus insonus	2999.99
Sylvilagus obscurus	1218.45
Sylvilagus cognatus	1218.45
Sylvilagus transitionalis	656.7
Sylvilagus nuttallii	755.09
Sylvilagus graysoni	964.01
Sylvilagus floridanus	1172.79
Sylvilagus cunicularius	2999.99
Sylvilagus robustus	1218.45
Sylvilagus audubonii	889.63
Sylvilagus varynaensis	1218.45
Sylvilagus brasiliensis	949.99
Sylvilagus aquaticus	2135.8
Sylvilagus palustris	1500
Sylvilagus bachmani	643.25
Sylvilagus dicei	1343.35
Sylvilagus mansuetus	811.92
Nesolagus timminsi	1500
Nesolagus netscheri	1500
Oryctolagus cuniculus	1832.22
Pentalagus furnessi	2396.25
Poelagus marjorita	2500
Pronolagus crassicaudatus	2089
Pronolagus randensis	2335.02
Pronolagus rupestris	1754
Romerolagus diazi	476.65
Atelerix albiventris	600
Atelerix algirus	1250
Atelerix frontalis	309.5
Atelerix sclateri	539.15
Erinaceus amurensis	571.88
Erinaceus roumanicus	744.55
Erinaceus concolor	719
Erinaceus europaeus	771
Hemiechinus auritus	342
Hemiechinus collaris	141
Mesechinus dauuricus	342
Mesechinus hughi	315.81
Paraechinus aethiopicus	352.4
Paraechinus hypomelas	213
Paraechinus micropus	171
Paraechinus nudiventris	234.14
Echinosorex gymnura	957
Hylomys suillus	65.83
Hylomys megalotis	65.83
Hylomys parvus	65.83
Neohylomys hainanensis	52.21
Neotetracus sinensis	290.15
Podogymnura truei	114
Podogymnura aureospinula	247
Solenodon paradoxus	900
Solenodon marcanoi	764.85
Solenodon cubanus	650
Solenodon arredondoi	764.85
Crocidura phaeura	10.35
Crocidura orii	14.4
Crocidura nigricans	20
Crocidura nigrofusca	11.75
Crocidura nimbae	15.5
Crocidura niobe	16
Crocidura obscurior	10.35
Crocidura olivieri	57.95
Crocidura orientalis	15.8
Crocidura nigripes	13.2
Crocidura palawanensis	10.35
Crocidura paradoxura	8.23
Crocidura parvipes	10.35
Crocidura nigeriae	23
Crocidura pergrisea	10.1
Crocidura nana	10.35
Crocidura picea	10.35
Crocidura pitmani	10.35
Crocidura planiceps	2.5
Crocidura poensis	16.57
Crocidura pasha	6.5
Crocidura miya	10.2
Crocidura macarthuri	10.35
Crocidura zimmermanni	10.35
Crocidura macmillani	10.35
Crocidura macowi	10.35
Crocidura malayana	12.7
Crocidura manengubae	10.35
Crocidura maquassiensis	6
Crocidura mariquensis	11.25
Crocidura maurisca	14
Crocidura negligens	10.42
Crocidura mindorus	18
Crocidura nicobarica	28.9
Crocidura monax	16
Crocidura monticola	6.6
Crocidura montis	14.5
Crocidura muricauda	10.35
Crocidura musseri	10.42
Crocidura mutesae	23.91
Crocidura religiosa	7
Crocidura nanilla	6.5
Crocidura polia	10.35
Crocidura negrina	11.33
Crocidura maxi	7.53
Crocidura vosmaeri	10.42
Crocidura rapax	10.42
Crocidura theresae	17.6
Crocidura thomensis	10.35
Crocidura trichura	10.42
Crocidura turba	14.5
Crocidura ultima	16
Crocidura usambarae	9.7
Crocidura viaria	17
Crocidura virgata	10.42
Crocidura tenuis	9.43
Crocidura vorax	10.42
Crocidura telfordi	10.35
Crocidura watasei	10.42
Crocidura whitakeri	5.5
Crocidura wimmeri	23.5
Crocidura wuchihensis	4.3
Crocidura xantippe	10.35
Crocidura yankariensis	5
Crocidura zaphiri	10.35
Crocidura zarudnyi	6.71
Crocidura lucina	10.35
Crocidura voi	10.35
Crocidura silacea	8
Crocidura raineyi	14.5
Crocidura ramona	10.42
Crocidura zimmeri	14.5
Crocidura rhoditis	14
Crocidura roosevelti	10.35
Crocidura russula	8.2
Crocidura selina	10.35
Crocidura serezkyensis	10.35
Crocidura shantungensis	10.42
Crocidura thalia	10.35
Crocidura sicula	6.9
Crocidura pullata	10.35
Crocidura smithii	10.35
Crocidura somalica	11.5
Crocidura stenocephala	21
Crocidura suaveolens	5.19
Crocidura susiana	10.35
Crocidura tanakae	10.42
Crocidura tansaniana	10.35
Crocidura tarella	10.35
Crocidura tarfayensis	6.5
Crocidura sibirica	10.35
Crocidura eisentrauti	10.35
Crocidura floweri	10.35
Crocidura crossei	6.9
Crocidura cyanea	9.35
Crocidura denti	7
Crocidura desperata	10.35
Crocidura dhofarensis	5.8
Crocidura dolichura	5.7
Crocidura congobelgica	10.35
Crocidura dsinezumi	10.21
Crocidura cinderella	10.35
Crocidura elgonius	6.5
Crocidura allex	10.35
Crocidura aleksandrisi	10.35
Crocidura luna	14.5
Crocidura lusitania	2
Crocidura elongata	17.8
Crocidura andamanensis	10.35
Crocidura fischeri	10.35
Crocidura douceti	4.3
Crocidura beatus	10.55
Crocidura ansellorum	10.35
Crocidura arabica	5.86
Crocidura arispa	10.42
Crocidura armenica	10.35
Crocidura attenuata	14.27
Crocidura attila	10.35
Crocidura baileyi	10.35
Crocidura crenata	6.52
Crocidura batesi	15.5
Crocidura flavescens	28.49
Crocidura beccarii	10.35
Crocidura bottegi	3.5
Crocidura bottegoides	3.07
Crocidura brunnea	10.42
Crocidura buettikoferi	10.35
Crocidura caliginea	10.35
Crocidura canariensis	7.5
Crocidura caspica	10.42
Crocidura baluensis	16.9
Crocidura lanosa	22.6
Crocidura hispida	10.35
Crocidura horsfieldii	5
Crocidura hutanis	10.42
Crocidura ichnusae	10.35
Crocidura indochinensis	10.42
Crocidura jacksoni	7
Crocidura jenkinsi	12.6
Crocidura jouvenetae	9.79
Crocidura katinka	10.42
Crocidura erica	10.35
Crocidura lamottei	20.5
Crocidura hildegardeae	9.5
Crocidura latona	10.35
Crocidura lea	6.6
Crocidura lepidura	10.42
Crocidura leucodon	9.82
Crocidura levicula	1.77
Crocidura littoralis	16
Crocidura longipes	19.3
Crocidura ludia	5.15
Crocidura kivuana	9
Crocidura gmelini	10.42
Crocidura foxi	19
Crocidura fuliginosa	12
Crocidura fulvastra	12.67
Crocidura fumosa	14.5
Crocidura fuscomurina	3.92
Crocidura hirta	15.8
Crocidura glassi	10.35
Crocidura hilliana	10.42
Crocidura goliath	54.84
Crocidura gracilipes	6.7
Crocidura grandiceps	23
Crocidura grandis	10.35
Crocidura grassei	13.5
Crocidura grayi	10.3
Crocidura greenwoodi	10.35
Crocidura harenna	8.5
Crocidura foetida	10.42
Solisorex pearsoni	10.3
Suncus lixus	4.9
Suncus hosei	7.64
Suncus fellowesgordoni	7.64
Suncus varilla	5
Suncus malayanus	5
Suncus megalura	5.38
Suncus mertensi	7.95
Suncus montanus	18
Suncus murinus	60.71
Suncus etruscus	2.13
Suncus stoliczkanus	9.43
Suncus infinitesimus	3
Suncus zeylanicus	29.8
Suncus remyi	1.75
Suncus aequatorius	7.15
Suncus dayi	9.43
Suncus ater	11.1
Suncus madagascariensis	3.5
Diplomesodon pulchellum	11
Feroculus feroculus	36
Paracrocidura graueri	11.68
Paracrocidura maxima	11.68
Paracrocidura schoutedeni	13
Ruwenzorisorex suncoides	18.2
Scutisorex somereni	91.5
Sylvisorex konganensis	5.15
Sylvisorex isabellae	9.99
Sylvisorex pluvialis	5.83
Sylvisorex oriundus	9.99
Sylvisorex ollula	13.2
Sylvisorex lunaris	18.5
Sylvisorex johnstoni	3.17
Sylvisorex vulcanorum	3.5
Sylvisorex granti	3.8
Sylvisorex camerunensis	5.83
Sylvisorex howelli	4.32
Sylvisorex morio	9.99
Sorex caecutiens	5.38
Sorex raddei	10
Sorex alpinus	7.8
Sorex minutus	4.5
Sorex maritimensis	6.05
Sorex kozlovi	6.05
Sorex isodon	9.35
Sorex hosonoi	3.25
Sorex granarius	6.28
Sorex gracillimus	5.06
Sorex daphaenodon	6.79
Sorex cylindricauda	6.05
Sorex cansulus	6.05
Sorex buchariensis	4.61
Sorex bedfordiae	6.6
Sorex antinorii	6.05
Sorex araneus	10
Sorex arcticus	8.15
Sorex arunchi	6.05
Sorex asper	7.95
Sorex averini	6.05
Sorex roboratus	9.12
Sorex coronatus	9.6
Sorex satunini	7.47
Sorex sinalis	9.43
Sorex tundrensis	7.73
Sorex shinto	6
Sorex unguiculatus	9.9
Sorex volnuchini	4.61
Sorex yukonicus	6.05
Sorex samniticus	8.25
Sorex excelsus	6.79
Sorex lyelli	5
Sorex jacksoni	3.5
Sorex hoyi	2.58
Sorex tenellus	3.75
Sorex haydeni	3.5
Sorex dispar	5
Sorex macrodon	7
Sorex leucogaster	4.83
Sorex cinereus	4.66
Sorex longirostris	3.58
Sorex vagrans	5.9
Sorex camtschatica	6.05
Sorex bendirii	16.1
Sorex veraepacis	7.5
Sorex bairdi	8.33
Sorex gaspensis	2.89
Sorex fumeus	7.7
Sorex alaskanus	14
Sorex ugyunak	3.6
Sorex palustris	13.45
Sorex pribilofensis	6.05
Sorex preblei	3.1
Sorex sonomae	8.3
Sorex portenkoi	4.83
Sorex pacificus	6.71
Sorex ornatus	4.99
Sorex orizabae	6.05
Sorex oreopolus	7
Sorex milleri	7
Sorex nanus	2.4
Sorex monticolus	5.25
Sorex neomexicanus	6.05
Sorex mirabilis	15
Sorex arizonae	2.4
Sorex saussurei	4.65
Sorex sclateri	7
Sorex ventralis	7
Sorex merriami	5.9
Sorex stizodon	7
Sorex emarginatus	7
Sorex trowbridgii	3.8
Sorex veraecrucis	6.05
Sorex minutissimus	2.51
Sorex planiceps	6.05
Sorex thibetanus	6.05
Anourosorex yamashinai	20
Anourosorex assamensis	20
Anourosorex schmidi	20
Anourosorex squamipes	20
Blarinella quadraticauda	12.5
Blarinella wardi	11.26
Blarinella griselda	12.5
Blarina brevicauda	28
Blarina hylophaga	14.5
Blarina carolinensis	13.5
Blarina peninsulae	17.63
Cryptotis peregrina	7.72
Cryptotis mexicana	7
Cryptotis montivaga	11.3
Cryptotis nelsoni	7.72
Cryptotis nigrescens	7.65
Cryptotis obscura	7.72
Cryptotis merriami	7.72
Cryptotis parva	4.98
Cryptotis medellinia	7.72
Cryptotis peruviensis	7.72
Cryptotis phillipsii	7.72
Cryptotis squamipes	11
Cryptotis tamensis	7.72
Cryptotis orophila	7.72
Cryptotis thomasi	12.6
Cryptotis mera	7.72
Cryptotis mayensis	5
Cryptotis magna	7
Cryptotis hondurensis	5
Cryptotis griseoventris	7.72
Cryptotis gracilis	7
Cryptotis goodwini	7
Cryptotis goldmani	8
Cryptotis equatoris	7.72
Cryptotis endersi	8
Cryptotis colombiana	7.72
Cryptotis brachyonyx	7.72
Cryptotis meridensis	11.57
Cryptotis alticola	7.72
Cryptotis tropicalis	7.72
Chimarrogale hantu	55
Chimarrogale himalayica	34.75
Chimarrogale phaeura	31
Chimarrogale platycephalus	36.32
Chimarrogale styani	25.8
Chimarrogale sumatrana	27.89
Chodsigoa parca	5.49
Chodsigoa sodalis	5.49
Chodsigoa smithii	5.49
Chodsigoa parva	5.49
Chodsigoa lamula	5.49
Chodsigoa hypsibia	5.49
Chodsigoa caovansunga	5.49
Chodsigoa salenskii	5.49
Episoriculus caudatus	6.95
Episoriculus fumidus	6.95
Episoriculus leucops	6.95
Episoriculus macrurus	6.95
Nectogale elegans	32.5
Neomys teres	15.13
Neomys fodiens	14.3
Neomys anomalus	16
Nesiotites hidalgo	9.05
Nesiotites similis	9.05
Soriculus nigrescens	14
Megasorex gigas	20
Notiosorex cockrumi	4.82
Notiosorex evotis	5.28
Notiosorex crawfordi	4.39
Notiosorex villai	4.82
Congosorex polli	10.3
Congosorex verheyeni	9.05
Myosorex longicaudatus	12.98
Myosorex kihaulei	12.1
Myosorex eisentrauti	10.35
Myosorex cafer	13.4
Myosorex blarina	10.35
Myosorex okuensis	10.35
Myosorex babaulti	10.35
Myosorex schalleri	10.35
Myosorex sclateri	10.35
Myosorex tenuis	10.35
Myosorex varius	13.2
Myosorex zinki	12.1
Myosorex geata	9.35
Myosorex rumpii	10.35
Surdisorex norae	9
Surdisorex polulus	9
Condylura cristata	84
Parascalops breweri	51
Scalopus aquaticus	91.26
Scapanulus oweni	36.64
Scapanus latimanus	55
Scapanus orarius	61.2
Scapanus townsendii	141.7
Desmana moschata	383
Galemys pyrenaicus	60.17
Neurotrichus gibbsii	8.9
Scaptonyx fusicaudus	19.41
Euroscaptor longirostris	59.57
Euroscaptor parvidens	59.57
Euroscaptor micrura	60.47
Euroscaptor grandis	59.57
Euroscaptor klossi	59.57
Euroscaptor mizura	35.47
Mogera imaizumii	65.53
Mogera insularis	83.03
Mogera tokudae	129.5
Mogera uchidai	75.85
Mogera wogura	111.5
Parascaptor leucura	45.6
Scaptochirus moschatus	90.51
Talpa altaica	85
Talpa stankovici	71.12
Talpa romana	92.5
Talpa occidentalis	53.5
Talpa levantis	90
Talpa davidiana	80.28
Talpa europaea	77
Talpa caeca	92.5
Talpa caucasica	90
Dymecodon pilirostris	15.46
Urotrichus talpoides	45
Uropsilus investigator	25.53
Uropsilus soricipes	16
Uropsilus andersoni	25.53
Uropsilus gracilis	25.53
Acerodon celebensis	390
Acerodon humilis	462.47
Acerodon jubatus	1075
Acerodon leucotis	462.47
Acerodon mackloti	470.33
Aethalops aequalis	15
Aethalops alecto	15
Alionycteris paucidentata	16.15
Aproteles bulmerae	600
Balionycteris maculata	13.36
Casinycteris argynnis	29.85
Chironax melanocephalus	16.67
Cynopterus nusatenggara	36.44
Cynopterus sphinx	43.66
Cynopterus titthaecheilus	58.33
Cynopterus luzoniensis	40.3
Cynopterus brachyotis	31.15
Cynopterus horsfieldii	56.01
Cynopterus minutus	26.45
Dobsonia magna	465
Dobsonia viridis	238
Dobsonia praedatrix	188.68
Dobsonia peronii	226.51
Dobsonia pannietensis	267.7
Dobsonia anderseni	233.99
Dobsonia minor	78.23
Dobsonia inermis	149.5
Dobsonia exoleta	249
Dobsonia emersa	195.5
Dobsonia crenulata	218.21
Dobsonia chapmani	216.03
Dobsonia beauforti	159.01
Dobsonia moluccensis	381.44
Dyacopterus brooksi	78
Dyacopterus spadiceus	78
Eidolon dupreanum	283.75
Eidolon helvum	253.31
Eonycteris spelaea	58.1
Eonycteris robusta	78.36
Eonycteris major	72.75
Epomophorus angolensis	68.15
Epomophorus crypturus	95.04
Epomophorus gambianus	128.87
Epomophorus grandis	48.58
Epomophorus labiatus	62.95
Epomophorus minimus	68.15
Epomophorus minor	44.76
Epomophorus wahlbergi	91.58
Epomops dobsonii	122.08
Epomops franqueti	118.93
Epomops buettikoferi	133.84
Pteropus keyensis	361.25
Pteropus gilliardorum	406.94
Pteropus griseus	269
Pteropus howensis	232.93
Pteropus hypomelanus	428.14
Pteropus cognatus	361.25
Pteropus intermedius	361.25
Pteropus faunulus	344.76
Pteropus leucopterus	340
Pteropus livingstonii	734.27
Pteropus lombocensis	250.3
Pteropus loochoensis	361.25
Pteropus lylei	316.67
Pteropus macrotis	357
Pteropus insularis	282.86
Pteropus fundatus	205.65
Pteropus alecto	643.57
Pteropus dasymallus	435
Pteropus conspicillatus	775.7
Pteropus mahaganus	251.4
Pteropus temminckii	361.25
Pteropus chrysoproctus	710
Pteropus capistratus	247.5
Pteropus aldabrensis	305
Pteropus caniceps	505
Pteropus brunneus	200
Pteropus banakrisi	225
Pteropus aruensis	361.25
Pteropus anetianus	426
Pteropus giganteus	804.17
Pteropus pselaphon	282.86
Pteropus ualanus	361.25
Pteropus tuberculatus	282.86
Pteropus tonganus	418.33
Pteropus tokudae	152
Pteropus voeltzkowi	527.5
Pteropus admiralitatum	299.9
Pteropus subniger	361.25
Pteropus seychellensis	457
Pteropus scapulatus	405.96
Pteropus samoensis	310
Pteropus rufus	361
Pteropus rodricensis	253.83
Pteropus rennelli	361.25
Pteropus speciosus	344.76
Pteropus ornatus	330
Pteropus melanopogon	860
Pteropus melanotus	344.76
Pteropus molossinus	284.21
Pteropus neohibernicus	966.79
Pteropus niger	456.25
Pteropus rayneri	724.5
Pteropus ocularis	220
Pteropus pumilus	183.35
Pteropus pelewensis	361.25
Pteropus personatus	127.5
Pteropus pilosus	361.25
Pteropus pohlei	343
Pteropus poliocephalus	749.91
Pteropus mariannus	453.5
Pteropus nitendiensis	265
Pteropus woodfordi	119.33
Pteropus vampyrus	935.88
Pteropus vetulus	148
Pteropus yapensis	361.25
Rousettus spinalatus	90.75
Rousettus obliviosus	44.1
Rousettus linduensis	77.74
Rousettus leschenaultii	84.88
Rousettus celebensis	56.3
Rousettus amplexicaudatus	82.47
Rousettus aegyptiacus	132.24
Rousettus bidens	62.39
Rousettus lanosus	103
Rousettus madagascariensis	62.1
Haplonycteris fischeri	17.96
Harpyionycteris celebensis	104
Harpyionycteris whiteheadi	110.5
Hypsignathus monstrosus	335.08
Latidens salimalii	44
Lissonycteris angolensis	68.31
Macroglossus minimus	16.37
Macroglossus sobrinus	22.13
Megaerops kusnotoi	35.94
Megaerops niphanae	32.6
Megaerops wetmorei	18.5
Megaerops ecaudatus	24.67
Megaloglossus woermanni	15.66
Melonycteris melanops	49.04
Melonycteris woodfordi	36.88
Melonycteris fardoulisi	42.53
Micropteropus pusillus	26.57
Micropteropus intermedius	59.17
Myonycteris relicta	52
Myonycteris torquata	42.23
Myonycteris brachycephala	53.39
Nanonycteris veldkampii	21.89
Neopteryx frosti	153.86
Notopteris neocaledonica	65.14
Notopteris macdonaldi	65.14
Nyctimene malaitensis	75.39
Nyctimene masalai	52.3
Nyctimene minutus	45.56
Nyctimene rabori	67.5
Nyctimene sanctacrucis	51.64
Nyctimene draconilla	29
Nyctimene vizcaccia	40
Nyctimene robinsoni	49.48
Nyctimene keasti	51.64
Nyctimene cyclotis	48
Nyctimene certans	42.1
Nyctimene cephalotes	44.47
Nyctimene albiventer	29.88
Nyctimene aello	84.26
Nyctimene major	104.15
Otopteropus cartilagonodus	16.75
Paranyctimene raptor	24.31
Paranyctimene tenax	24.31
Penthetor lucasi	38.17
Plerotes anchietae	120.64
Ptenochirus jagori	77.25
Ptenochirus minor	36.25
Pteralopex taki	369.06
Pteralopex acrodonta	250.5
Pteralopex anceps	560.36
Pteralopex atrata	472
Pteralopex pulchra	280
Scotonycteris ophiodon	67.5
Scotonycteris zenkeri	20.83
Sphaerias blanfordi	28.18
Styloctenium wallacei	173
Syconycteris carolinae	39
Syconycteris hobbit	18.29
Syconycteris australis	17.1
Thoopterus nigrescens	60.4
Rhinolophus mitratus	10.4
Rhinolophus pusillus	5.15
Rhinolophus philippinensis	10.33
Rhinolophus pearsonii	11.55
Rhinolophus paradoxolophus	8.24
Rhinolophus landeri	8.86
Rhinolophus osgoodi	10.62
Rhinolophus nereis	9.62
Rhinolophus monoceros	10.62
Rhinolophus maendeleo	10.62
Rhinolophus mehelyi	12.33
Rhinolophus megaphyllus	10.06
Rhinolophus marshalli	5.02
Rhinolophus malayanus	6.7
Rhinolophus rex	10.4
Rhinolophus ziama	10.62
Rhinolophus siamensis	10.62
Rhinolophus madurensis	10.62
Rhinolophus montanus	10.62
Rhinolophus simulator	8.1
Rhinolophus virgo	6
Rhinolophus yunanensis	19.7
Rhinolophus trifoliatus	14.53
Rhinolophus thomasi	8.3
Rhinolophus swinnyi	7.13
Rhinolophus subrufus	10.4
Rhinolophus subbadius	10.49
Rhinolophus shameli	9.61
Rhinolophus sinicus	10.62
Rhinolophus robinsoni	8.5
Rhinolophus silvestris	10.4
Rhinolophus imaizumii	10.62
Rhinolophus shortridgei	10.62
Rhinolophus sedulus	8.75
Rhinolophus sakejiensis	22
Rhinolophus ruwenzorii	10.62
Rhinolophus rufus	30
Rhinolophus rouxii	12.25
Rhinolophus stheno	7.9
Rhinolophus affinis	13.63
Rhinolophus clivosus	15.66
Rhinolophus capensis	12.8
Rhinolophus inops	13.5
Rhinolophus borneensis	7.9
Rhinolophus bocharicus	15.05
Rhinolophus blasii	9.7
Rhinolophus beddomei	10.62
Rhinolophus coelophyllus	7.1
Rhinolophus alcyone	18.75
Rhinolophus celebensis	10.4
Rhinolophus adami	10.4
Rhinolophus acuminatus	12.13
Rhinolophus macrotis	6.15
Rhinolophus maclaudi	13.08
Rhinolophus luctus	33.45
Rhinolophus lepidus	5.7
Rhinolophus keyensis	6.26
Rhinolophus arcuatus	8.75
Rhinolophus ferrumequinum	21.06
Rhinolophus hipposideros	4.71
Rhinolophus hillorum	10.62
Rhinolophus hilli	13.6
Rhinolophus hildebrandtii	25.99
Rhinolophus guineensis	9.9
Rhinolophus canuti	10.75
Rhinolophus formosae	10.62
Rhinolophus cognatus	10.49
Rhinolophus euryotis	14.3
Rhinolophus euryale	8.15
Rhinolophus eloquens	19.05
Rhinolophus denti	6.15
Rhinolophus deckenii	10.4
Rhinolophus darlingi	9.45
Rhinolophus creaghi	12
Rhinolophus cornutus	7.2
Rhinolophus convexus	10.62
Rhinolophus fumigatus	12.94
Anthops ornatus	8
Asellia patrizii	14.1
Asellia tridens	11.93
Aselliscus stoliczkanus	4.9
Aselliscus tricuspidatus	4.1
Cloeotis percivali	4.05
Coelops robinsoni	6.5
Coelops frithii	7.52
Hipposideros lankadiva	52.4
Hipposideros muscinus	14.41
Hipposideros megalotis	9.31
Hipposideros marisae	9.31
Hipposideros maggietaylorae	18.5
Hipposideros madurae	13.94
Hipposideros macrobullatus	9.31
Hipposideros lylei	40
Hipposideros larvatus	19.85
Hipposideros orbiculus	13.94
Hipposideros lamottei	9.78
Hipposideros jonesi	5.5
Hipposideros inornatus	25.9
Hipposideros inexpectatus	21.41
Hipposideros hypophyllus	13.94
Hipposideros halophyllus	4
Hipposideros grandis	13.94
Hipposideros gigas	115.42
Hipposideros galeritus	8.18
Hipposideros lekaguli	31.1
Hipposideros semoni	14
Hipposideros fulvus	8.5
Hipposideros dyacorum	6.05
Hipposideros wollastoni	6.75
Hipposideros vittatus	13.94
Hipposideros turpis	33.35
Hipposideros thomensis	13.94
Hipposideros sumbae	13.94
Hipposideros stenotis	12
Hipposideros nequam	9.31
Hipposideros sorenseni	13.94
Hipposideros obscurus	9.5
Hipposideros scutinares	13.94
Hipposideros ruber	10.11
Hipposideros rotalis	13.94
Hipposideros ridleyi	8.83
Hipposideros pygmaeus	3.5
Hipposideros pratti	31.8
Hipposideros pomona	6.2
Hipposideros pelingensis	13.94
Hipposideros papua	9.31
Hipposideros speoris	10.43
Hipposideros breviceps	9.31
Hipposideros cyclops	33.5
Hipposideros demissus	13.94
Hipposideros diadema	43.76
Hipposideros crumeniferus	9.18
Hipposideros coxi	9.25
Hipposideros corynophyllus	14.5
Hipposideros coronatus	10.59
Hipposideros commersoni	99.09
Hipposideros cineraceus	4.72
Hipposideros cervinus	9.3
Hipposideros camerunensis	23.28
Hipposideros curtus	9.31
Hipposideros caffer	9.45
Hipposideros bicolor	7.64
Hipposideros beatus	6.65
Hipposideros ater	5.79
Hipposideros armiger	53
Hipposideros fuliginosus	9.31
Hipposideros dinops	74.5
Hipposideros doriae	4.24
Hipposideros durgadasi	13.94
Hipposideros abae	9.31
Hipposideros edwardshilli	13.94
