species	assembly
Bubalus_bubalis	Bubalus_bubalis__water_buffalo__HLbubBub2__GCA_003121395.1
Bubalus_kerabau	Bubalus_kerabau__carabao__HLbubKer1__GCF_029407905.1
Budorcas_taxicolor	Budorcas_taxicolor__takin__HLbudTax1__GCA_023091745.1
Capra_hircus	Capra_hircus__goat__HLcapHir2__GCA_001704415.1
Capra_hircus	Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1
Capra_ibex	Capra_ibex__Alpine_ibex__HLcapIbex2__GCA_054642885.1
Capra_nubiana	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1
Capricornis_sumatraensis	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1
Ovis_aries	Ovis_aries__Sheep__HLoviArie7__GCA_040805955.1
Ovis_canadensis	Ovis_canadensis__Bighorn_sheep__HLoviCana3__GCF_042477335.2
Rupicapra_rupicapra	Rupicapra_rupicapra__Chamois__HLrupRup1__GCA_963981305.1
Cephalophula_zebra	Cephalophula_zebra__Zebra_duiker__HLcepZebr1A__GCA_054099735.1
Axis_porcinus	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1
Cervus_elaphus	Cervus_elaphus__red_deer__HLcerEla2__GCF_910594005.1
Cervus_nippon	Cervus_nippon__Sika_deer__HLcerNip1__GCA_040085125.1
Cervus_albirostris	Cervus_albirostris__White-lipped_deer__HLprzAlb2__GCA_046563475.1
Dama_dama	Dama_dama__fallow_deer__HLdamDam1__GCF_033118175.1
Muntiacus_crinifrons	Muntiacus_crinifrons__black_muntjac__HLmunCri2__GCA_020276665.1
Muntiacus_gongshanensis	Muntiacus_gongshanensis__Gongshanensis_muntjac__HLmunGon1__GCA_020226025.1
Muntiacus_vaginalis	Muntiacus_vaginalis__Northern_red_muntjac__HLmunVag1__GCA_039877825.1
Capreolus_capreolus	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1
Moschus_berezovskii	Moschus_berezovskii__Chinese_forest_musk_deer__HLmosBere4__GCA_049115385.1
Phacochoerus_africanus	Phacochoerus_africanus__Common_warthog__HLphaAfr1__GCA_016906955.1
Sus_scrofa	Sus_scrofa__Pig__HLsusScro12__GCA_048338725.1
Camelus_dromedarius	Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3
Camelus_dromedarius	Camelus_dromedarius__Arabian_camel__HLcamDro3A__GCF_036321535.1
Camelus_dromedarius	Camelus_dromedarius__Arabian_camel__HLcamDro3B__GCA_036321565.1
Camelus_ferus	Camelus_ferus__Wild_Bactrian_camel__HLcamFer3__GCA_009834535.1
